Name,Data
Rostratula_benghalensis,TRUE
Rostratula_semicollaris,TRUE
Bartramia_longicauda,TRUE
Numenius_phaeopus,TRUE
Numenius_tahitiensis,TRUE
Numenius_arquata,TRUE
Numenius_minutus,TRUE
Numenius_borealis,FALSE
Numenius_madagascariensis,TRUE
Numenius_tenuirostris,FALSE
Numenius_americanus,TRUE
Lymnocryptes_minimus,TRUE
Limosa_limosa,TRUE
Limosa_haemastica,TRUE
Limosa_fedoa,TRUE
Limosa_lapponica,TRUE
Coenocorypha_pusilla,TRUE
Coenocorypha_aucklandica,TRUE
Gallinago_andina,FALSE
Gallinago_imperialis,FALSE
Gallinago_macrodactyla,FALSE
Gallinago_undulata,FALSE
Gallinago_nigripennis,TRUE
Gallinago_paraguaiae,TRUE
Gallinago_stricklandii,FALSE
Gallinago_nobilis,FALSE
Gallinago_solitaria,FALSE
Gallinago_jamesoni,FALSE
Gallinago_gallinago,TRUE
Gallinago_hardwickii,FALSE
Gallinago_media,TRUE
Gallinago_stenura,TRUE
Gallinago_megala,TRUE
Gallinago_nemoricola,FALSE
Scolopax_rosenbergii,FALSE
Scolopax_rusticola,TRUE
Scolopax_celebensis,FALSE
Scolopax_rochussenii,FALSE
Scolopax_minor,TRUE
Scolopax_saturata,FALSE
Scolopax_mira,FALSE
Scolopax_bukidnonensis,FALSE
Limnodromus_semipalmatus,FALSE
Limnodromus_scolopaceus,TRUE
Limnodromus_griseus,TRUE
Xenus_cinereus,TRUE
Steganopus_tricolor,TRUE
Phalaropus_lobatus,TRUE
Phalaropus_fulicarius,TRUE
Tringa_solitaria,TRUE
Tringa_ochropus,TRUE
Tringa_erythropus,TRUE
Tringa_melanoleuca,TRUE
Tringa_nebularia,TRUE
Tringa_totanus,TRUE
Tringa_glareola,TRUE
Tringa_stagnatilis,TRUE
Tringa_guttifer,FALSE
Catoptrophorus_semipalmatus,TRUE
Tringa_flavipes,TRUE
Heteroscelus_brevipes,TRUE
Heteroscelus_incanus,TRUE
Actitis_macularius,TRUE
Actitis_hypoleucos,TRUE
Eurynorhynchus_pygmeus,TRUE
Calidris_temminckii,TRUE
Calidris_fuscicollis,TRUE
Calidris_minuta,TRUE
Calidris_ruficollis,TRUE
Calidris_acuminata,FALSE
Calidris_alba,TRUE
Calidris_minutilla,TRUE
Calidris_himantopus,TRUE
Calidris_melanotos,TRUE
Calidris_mauri,TRUE
Calidris_pusilla,TRUE
Calidris_bairdii,TRUE
Tryngites_subruficollis,TRUE
Calidris_ptilocnemis,TRUE
Calidris_maritima,TRUE
Calidris_alpina,TRUE
Calidris_subminuta,TRUE
Calidris_ferruginea,TRUE
Calidris_tenuirostris,TRUE
Aphriza_virgata,TRUE
Calidris_canutus,TRUE
Limicola_falcinellus,TRUE
Philomachus_pugnax,TRUE
Arenaria_melanocephala,TRUE
Arenaria_interpres,TRUE
Ibidorhyncha_struthersii,TRUE
Haematopus_moquini,FALSE
Haematopus_chathamensis,TRUE
Haematopus_finschi,TRUE
Haematopus_unicolor,TRUE
Haematopus_ostralegus,TRUE
Haematopus_bachmani,TRUE
Haematopus_palliatus,TRUE
Haematopus_ater,TRUE
Haematopus_longirostris,FALSE
Haematopus_leucopodus,TRUE
Haematopus_fuliginosus,FALSE
Recurvirostra_avosetta,TRUE
Recurvirostra_andina,TRUE
Recurvirostra_americana,TRUE
Recurvirostra_novaehollandiae,FALSE
Himantopus_himantopus,TRUE
Himantopus_mexicanus,TRUE
Himantopus_novaezelandiae,TRUE
Himantopus_leucocephalus,TRUE
Cladorhynchus_leucocephalus,TRUE
Pluvialis_squatarola,TRUE
Pluvialis_dominica,TRUE
Pluvialis_fulva,TRUE
Pluvialis_apricaria,TRUE
Phegornis_mitchellii,TRUE
Charadrius_modestus,TRUE
Charadrius_asiaticus,FALSE
Charadrius_vociferus,TRUE
Charadrius_peronii,FALSE
Charadrius_hiaticula,TRUE
Charadrius_melodus,TRUE
Charadrius_semipalmatus,TRUE
Elseyornis_melanops,TRUE
Charadrius_pallidus,FALSE
Charadrius_dubius,TRUE
Thinornis_novaeseelandiae,TRUE
Thinornis_rubricollis,TRUE
Eudromias_morinellus,TRUE
Vanellus_miles,TRUE
Vanellus_melanopterus,FALSE
Vanellus_tricolor,FALSE
Vanellus_indicus,FALSE
Vanellus_malarbaricus,FALSE
Vanellus_leucurus,FALSE
Vanellus_coronatus,FALSE
Vanellus_duvaucelii,FALSE
Vanellus_gregarius,FALSE
Vanellus_armatus,FALSE
Vanellus_superciliosus,FALSE
Vanellus_melanocephalus,FALSE
Vanellus_lugubris,FALSE
Vanellus_albiceps,FALSE
Vanellus_crassirostris,FALSE
Vanellus_senegallus,FALSE
Vanellus_cayanus,FALSE
Vanellus_spinosus,FALSE
Vanellus_vanellus,TRUE
Vanellus_chilensis,TRUE
Vanellus_resplendens,TRUE
Vanellus_cinereus,FALSE
Vanellus_tectus,FALSE
Charadrius_montanus,TRUE
Charadrius_sanctaehelenae,FALSE
Charadrius_marginatus,TRUE
Charadrius_alexandrinus,TRUE
Charadrius_mongolus,TRUE
Charadrius_leschenaultii,TRUE
Charadrius_veredus,TRUE
Charadrius_pecuarius,FALSE
Charadrius_wilsonia,TRUE
Charadrius_collaris,TRUE
Charadrius_alticola,TRUE
Charadrius_falklandicus,TRUE
Charadrius_bicinctus,TRUE
Charadrius_ruficapillus,TRUE
Charadrius_javanicus,FALSE
Charadrius_tricollaris,FALSE
Charadrius_forbesi,FALSE
Charadrius_australis,TRUE
Anarhynchus_frontalis,TRUE
Charadrius_obscurus,FALSE
Charadrius_thoracicus,FALSE
Erythrogonys_cinctus,TRUE
Charadrius_placidus,FALSE
Oreopholus_ruficollis,TRUE
Pluvianus_aegyptius,TRUE
Esacus_giganteus,FALSE
Esacus_recurvirostris,FALSE
Burhinus_bistriatus,TRUE
