Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Lepilemur;milanoii;NA;Lepilemuridae;Primates;Daraina sportive lemur;Lepilemur milanoii;TRUE;FALSE;Extant;Endemic
Lepilemur;mittermeieri;NA;Lepilemuridae;Primates;Mittermeier's sportive lemur;Lepilemur mittermeieri;TRUE;TRUE;Extant;Endemic
Lepilemur;mustelinus;NA;Lepilemuridae;Primates;Weasel sportive lemur;Lepilemur mustelinus;TRUE;TRUE;Extant;Endemic
Lepilemur;otto;NA;Lepilemuridae;Primates;Otto's sportive lemur;Lepilemur otto;TRUE;TRUE;Extant;Endemic
Lepilemur;petteri;NA;Lepilemuridae;Primates;Petter's sportive lemur;Lepilemur petteri;TRUE;FALSE;Extant;Endemic
Lepilemur;randrianasoloi;NA;Lepilemuridae;Primates;Randrianasolo's sportive lemur;Lepilemur randrianasoloi;TRUE;TRUE;Extant;Endemic
Lepilemur;ruficaudatus;NA;Lepilemuridae;Primates;Red-tailed sportive lemur;Lepilemur ruficaudatus;TRUE;TRUE;Extant;Endemic
Lepilemur;sahamalazensis;NA;Lepilemuridae;Primates;Sahamalaza Peninsula sportive lemur;Lepilemur sahamalazensis;TRUE;TRUE;Extant;Endemic
Lepilemur;scottorum;NA;Lepilemuridae;Primates;Scott's Masoala sportive lemur;Lepilemur scottorum;TRUE;FALSE;Extant;Endemic
Lepilemur;seali;NA;Lepilemuridae;Primates;Seal's sportive lemur;Lepilemur seali;TRUE;FALSE;Extant;Endemic
Lepilemur;septentrionalis;NA;Lepilemuridae;Primates;Northern sahafary sportive lemur;Lepilemur septentrionalis;TRUE;TRUE;Extant;Endemic
Lepilemur;tymerlachsonorum;NA;Lepilemuridae;Primates;Hawk's Nosy Be sportive lemur;Lepilemur tymerlachsoni;TRUE;FALSE;Extant;Endemic
Lepilemur;wrightae;NA;Lepilemuridae;Primates;Wright's sportive lemur;Lepilemur wrightae;TRUE;FALSE;Extant;Endemic
Megaladapis;edwardsi;NA;Megaladapidae;Primates;NA;Megaladapis edwardsi;TRUE;TRUE;Extinct;Endemic
Megaladapis;grandidieri;NA;Megaladapidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Megaladapis;madagascariensis;NA;Megaladapidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Mesopropithecus;dolichobrachion;NA;Palaeopropithecidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Mesopropithecus;globiceps;NA;Palaeopropithecidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Mesopropithecus;pithecoides;NA;Palaeopropithecidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Microcebus;arnholdi;NA;Cheirogaleidae;Primates;Arnhold's mouse lemur;Microcebus arnholdi;TRUE;FALSE;Extant;Endemic
Microcebus;berthae;NA;Cheirogaleidae;Primates;Madame Berthe's mouse lemur;Microcebus berthae;TRUE;TRUE;Extant;Endemic
Microcebus;bongolavensis;NA;Cheirogaleidae;Primates;Bongolava mouse lemur;Microcebus bongolavensis;TRUE;TRUE;Extant;Endemic
Microcebus;boraha;NA;Cheirogaleidae;Primates;Boraha mouse lemur;NA;FALSE;FALSE;Extant;Endemic
Microcebus;danfossi;NA;Cheirogaleidae;Primates;Danfoss' mouse lemur;Microcebus danfossi;TRUE;FALSE;Extant;Endemic
Microcebus;ganzhorni;NA;Cheirogaleidae;Primates;Ganzhorn's mouse lemur;NA;FALSE;FALSE;Extant;Endemic
Microcebus;gerpi;NA;Cheirogaleidae;Primates;Gerp's mouse lemur;Microcebus gerpi;TRUE;TRUE;Extant;Endemic
Microcebus;griseorufus;NA;Cheirogaleidae;Primates;Gray-brown mouse lemur;Microcebus griseorufus;TRUE;TRUE;Extant;Endemic
Microcebus;jollyae;NA;Cheirogaleidae;Primates;Jolly's mouse lemur;Microcebus jollyae;TRUE;FALSE;Extant;Endemic
Microcebus;jonahi;NA;Cheirogaleidae;Primates;Jonah's mouse lemur;NA;FALSE;FALSE;Extant;Endemic
Microcebus;lehilahytsara;NA;Cheirogaleidae;Primates;Goodman's mouse lemur;Microcebus lehilahytsara;TRUE;TRUE;Extant;Endemic
Microcebus;macarthurii;NA;Cheirogaleidae;Primates;MacArthur's mouse lemur;Microcebus macarthurii;TRUE;TRUE;Extant;Endemic
Microcebus;mamiratra;NA;Cheirogaleidae;Primates;Claire's mouse lemur;Microcebus mamiratra;TRUE;FALSE;Extant;Endemic
Microcebus;manitatra;NA;Cheirogaleidae;Primates;Bemanasy mouse lemur;NA;FALSE;FALSE;Extant;Endemic
Microcebus;margotmarshae;NA;Cheirogaleidae;Primates;Margot Marsh's mouse lemur;Microcebus margotmarshae;TRUE;FALSE;Extant;Endemic
Microcebus;marohita;NA;Cheirogaleidae;Primates;Marohita mouse lemur;Microcebus marohita;TRUE;TRUE;Extant;Endemic
Microcebus;mittermeieri;NA;Cheirogaleidae;Primates;Mittermeier's mouse lemur;Microcebus mittermeieri;TRUE;TRUE;Extant;Endemic
Microcebus;murinus;NA;Hipposideridae;Primates;Gray mouse lemur;Microcebus murinus;TRUE;TRUE;Extant;Endemic
Microcebus;myoxinus;NA;Cheirogaleidae;Primates;Peters' mouse lemur;Microcebus myoxinus;TRUE;TRUE;Extant;Endemic
Microcebus;ravelobensis;NA;Cheirogaleidae;Primates;Golden-brown mouse lemur;Microcebus ravelobensis;TRUE;TRUE;Extant;Endemic
Microcebus;rufus;NA;Cheirogaleidae;Primates;Rufous mouse lemur;Microcebus rufus;TRUE;TRUE;Extant;Endemic
Microcebus;sambiranensis;NA;Cheirogaleidae;Primates;Sambirano mouse lemur;Microcebus sambiranensis;TRUE;TRUE;Extant;Endemic
Microcebus;simmonsi;NA;Cheirogaleidae;Primates;Simmons' mouse lemur;Microcebus simmonsi;TRUE;TRUE;Extant;Endemic
